bovis	mt	gene	v/i	mb_call	mt_call
Mb1378c	Rv1343c	lprD	v	NE	GD
Mb1379	Rv1344	mbtL	i	NE	NE
Mb1380	Rv1345	mbtM	i	NE	NE
Mb1381	Rv1346	mbtN	i	NE	NE
Mb1382c	Rv1347c	mbtK	i	NE	NE
Mb1383	Rv1348	irtA	i	GD	GD
Mb1384	Rv1349	irtB	i	GD	GD
Mb1385	Rv1350	fabG2	i	NE	NE
Mb1386	Rv1351		i	NE	NE
Mb1387	Rv1352		i	NE	NE
Mb1388c	Rv1353c		i	NE	NE
Mb1389c	Rv1354c		i	NE	NE
Mb1390c	Rv1355c	moeY	v	NE	NE
Mb1391c	Rv1356c		i	NE	NE
Mb1392c	Rv1357c		i	NE	NE
Mb1393	Rv1358		v	NE	NE
Mb1394	Rv1359		v	NE	NE
Mb1395	Rv1360		i	NE	NE
Mb1396c	Rv1361c	PPE19	v	NE	NE
Mb1397c	Rv1362c		v	NE	NE
Mb1398c	Rv1363c		v	NE	NE
Mb1399c	Rv1364c		v	NE	NE
Mb1400c	Rv1365c	rsfA	v	NE	NE
Mb1401	Rv1366		i	NE	NE
Mb1401A	Rv1366A		i	NE	NE
Mb1402c	Rv1367c		v	NE	NE
Mb1403	Rv1368	lprF	i	NE	NE
Mb1404	Rv1371		v	N/A	NE
Mb1405	Rv1371		v	NE	NE
Mb1406	Rv1372		i	NE	NE
Mb1407	Rv1373		v	NE	NE
Mb1408	Rv1373		v	NE	NE
Mb1409c	Rv1374c		v	NE	NE
Mb1410	Rv1375		v	NE	NE
Mb1411	Rv1376		v	NE	NE
Mb1412c	Rv1377c		i	NE	NE
Mb1413c	Rv1378c		v	NE	NE
Mb1414	Rv1379	pyrR	i	ES	NE
Mb1415	Rv1380	pyrB	i	ES	ES
Mb1416	Rv1381	pyrC	v	ES	ES
Mb1417	Rv1382		i	ES	ES
Mb1418	Rv1383	carA	v	ES	ES
Mb1419	Rv1384	carB	v	ES	ES
Mb1420	Rv1385	pyrF	i	NE	ES
Mb1421	Rv1386	PE15	i	NE	NE
Mb1422	Rv1387	PPE20	v	GD	NE
Mb1423	Rv1388	mihF	i	GD	NE
Mb1424	Rv1389	gmk	i	ES	NE
Mb1425	Rv1390	rpoZ	i	ES	GD
Mb1426	Rv1391	dfp	i	ES	ES
Mb1427	Rv1392	metK	v	NE	ES
Mb1428c	Rv1393c		i	NE	NE
Mb1429c	Rv1394c	cyp132	v	NE	NE
Mb1430	Rv1395		i	NE	NE
Mb1431c	Rv1396c	PE_PGRS25	v	NE	NE
Mb1432c	Rv1397c	vapC10	v	NE	NE
Mb1433c	Rv1398c	vapB10	i	NE	NE
Mb1434c	Rv1399c	nlhH	i	NE	NE
Mb1435c	Rv1400c	lipI	i	NE	NE
Mb1436	Rv1401		i	GD	NE
Mb1437	Rv1402	priA	i	NE	ES
Mb1438c	Rv1403c		i	NE	NE
Mb1439	Rv1404		i	NE	NE
Mb1440c	Rv1405c		i	NE	NE
Mb1441	Rv1406	fmt	i	NE	NE
Mb1442	Rv1407	fmu	v	NE	NE
Mb1443	Rv1408	rpe	i	NE	GD
Mb1444	Rv1409	ribG	v	NE	ES
Mb1445c	Rv1410c		i	NE	GA
Mb1446c	Rv1411c	lprG	i	NE	NE
Mb1447	Rv1412	ribC	i	NE	NE
Mb1448	Rv1413		i	NE	NE
Mb1449	Rv1414		i	ES	NE
Mb1450	Rv1415	ribA2	i	ES	ES
Mb1451	Rv1416	ribH	i	NE	ES
Mb1452	Rv1417		i	NE	NE
Mb1453	Rv1418	lprH	i	NE	NE
Mb1454	Rv1419		i	GD	NE
Mb1455	Rv1420	uvrC	i	NE	NE
Mb1456	Rv1421		i	NE	NE
Mb1457	Rv1422		v	ES	NE
Mb1458	Rv1423	whiA	i	NE	ES
Mb1459c	Rv1424c		i	NE	NE
Mb1460	Rv1425		v	NE	NE
Mb1461c	Rv1426c	lipO	i	NE	NE
Mb1462c	Rv1427c	fadD12	i	NE	NE
Mb1463c	Rv1428c		i	NE	NE
Mb1464	Rv1429		i	NE	NE
Mb1465	Rv1430	PE16	i	NE	NE
Mb1466	Rv1431		v	ES	NE
Mb1467	Rv1432		i	NE	NE
Mb1468	Rv1433		i	NE	NE
Mb1469	Rv1434		i	NE	NE
Mb1470c	Rv1435c		v	ES	NE
Mb1471	Rv1436	gap	i	ES	GD
Mb1472	Rv1437	pgk	i	ES	GD
Mb1473	Rv1438	tpi	i	NE	ES
Mb1474c	Rv1439c		i	NE	NE
Mb1475	Rv1440	secG	i	NE	NE
Mb1476c	Rv1441c	PE_PGRS26	v	NE	NE
Mb1477	Rv1442	bisC	i	NE	NE
Mb1478c	Rv1443c		i	NE	NE
Mb1479c	Rv1444c		i	NE	NE
Mb1480c	Rv1445c	devB	i	NE	NE
Mb1481c	Rv1446c	opcA	v	NE	NE
Mb1482c	Rv1447c	zwf2	i	NE	NE
Mb1483c	Rv1448c	tal	v	ES	NE
Mb1484c	Rv1449c	tkt	v	NE	ES
Mb1485c	Rv1450c	PE_PGRS27	v	ES	NE
Mb1486	Rv1451		v	NE	GD
Mb1487c	Rv1452c	PE_PGRS28	v	NE	GA
Mb1488	Rv1453		v	NE	GA
Mb1489c	Rv1454c	qor	i	NE	GA
Mb1490	Rv1455		i	GD	GA
Mb1491c	Rv1456c		i	GD	GD
Mb1492c	Rv1457c		i	GD	GD
Mb1493c	Rv1458c		i	NE	GD
Mb1494c	Rv1459c		v	ES	GD
Mb1495	Rv1460		v	ES	NE
Mb1496	Rv1461		i	ES	ES
Mb1497	Rv1462		v	ES	ES
Mb1498	Rv1463		i	ES	ES
Mb1499	Rv1464	csd	i	NE	ES
Mb1500	Rv1465		i	NE	ES
Mb1501	Rv1466		i	NE	NE
Mb1502c	Rv1467c	fadE15	i	NE	NE
Mb1503c	Rv1468c	PE_PGRS29	i	NE	NE
Mb1504	Rv1469	ctpD	i	NE	NE
Mb1505	Rv1470	trxA	i	NE	NE
Mb1506	Rv1471	trxB1	i	NE	NE
Mb1507	Rv1472	echA12	v	NE	NE
Mb1508	Rv1473		i	NE	NE
Mb1509	Rv1473A		v	NE	NE
Mb1510c	Rv1474c		i	ES	NE
Mb1511c	Rv1475c	acn	i	ES	ES
Mb1512	Rv1476		i	GD	NE
Mb1513	Rv1477	ripA	i	GA	ES
Mb1514	Rv1478		i	GD	NE
Mb1515	Rv1479	moxR1	i	GD	ES
Mb1516	Rv1480		i	GD	ES
Mb1517	Rv1481		i	NE	ES
Mb1518c	Rv1482c		i	ES	NE
Mb1519	Rv1483	fabG1	i	ES	ES
Mb1520	Rv1484	inhA	i	ES	ES
Mb1521	Rv1485	hemZ	i	NE	ES
Mb1522c	Rv1486c		v	NE	NE
Mb1523	Rv1487		i	NE	NE
Mb1524	Rv1488		i	NE	NE
Mb1525	Rv1489		i	NE	NE
Mb1526	Rv1489A		i	NE	NE
Mb1527	Rv1490		i	NE	NE
Mb1528c	Rv1491c		i	NE	NE
Mb1529	Rv1492	mutA	i	NE	NE
Mb1530	Rv1493	mutB	i	NE	NE
Mb1531	Rv1494	mazE4	i	NE	NE
Mb1532	Rv1495	mazF4	i	NE	NE
Mb1533	Rv1496		i	NE	NE
Mb1534	Rv1497	lipL	i	NE	NE
Mb1535c	Rv1498c		i	NE	NE
Mb1536c	Rv1498A		v	NE	GA
Mb1537	Rv1499		i	NE	GA
Mb1538	Rv1500		i	NE	NE
Mb1539	Rv1501		i	NE	NE
Mb1540	Rv1502		v	NE	NE
Mb1541	Rv1502		v	NE	NE
Mb1542c	Rv1503c		v	NE	N/A
Mb1543c	Rv1505c		i	NE	NE
Mb1544	Rv1517		v	NE	NE
Mb1545	Rv1518		v	NE	NE
Mb1546	Rv1519		i	NE	NE
Mb1547	Rv1520		i	NE	NE
Mb1548	Rv1521	fadD25	v	GA	NE
Mb1549c	Rv1522c	mmpL12	v	NE	NE
Mb1550	Rv1523		i	NE	NE
Mb1551	Rv1524		i	NE	NE
Mb1552	Rv1525	wbbL2	i	NE	NE
Mb1553c	Rv1526c		i	NE	NE
Mb1554c	Rv1527c	pks5	v	NE	NE
Mb1555c	Rv1528c	papA4	i	NE	NE
Mb1556	Rv1529	fadD24	i	NE	NE
Mb1557	Rv1530	adh	i	NE	NE
Mb1558	Rv1531		i	NE	NE
Mb1559c	Rv1532c		i	NE	NE
Mb1560	Rv1533		i	NE	NE
Mb1561	Rv1534		i	NE	NE
Mb1562	Rv1535		i	ES	NE
Mb1563	Rv1536	ileS	v	NE	ES
Mb1564	Rv1537	dinX	i	NE	NE
Mb1565c	Rv1538c	ansA	i	NE	NE
Mb1566	Rv1539	lspA	i	NE	GD
Mb1567	Rv1540		i	NE	GD
Mb1568c	Rv1541c	lprI	i	NE	NE
Mb1569c	Rv1542c	glbN	i	NE	NE
Mb1570	Rv1543		i	NE	NE
Mb1571	Rv1544		i	NE	NE
Mb1572	Rv1545		i	NE	NE
Mb1573	Rv1546		i	ES	NE
Mb1574	Rv1547	dnaE1	i	NE	ES
Mb1575c	Rv1548c	PPE21	v	NE	NE
Mb1576	Rv1549		v	NE	N/A
Mb1577	Rv1551	plsB1	i	NE	NE
Mb1578	Rv1552	frdA	i	NE	NE
Mb1579	Rv1553	frdB	v	NE	NE
Mb1580	Rv1555	frdD	i	NE	NE
Mb1581	Rv1556		i	NE	NE
Mb1582	NA(Rv0403c)		v	NE	N/A
Mb1583	Rv1557	mmpL6	v	NE	NE
Mb1584	Rv1558		i	NE	NE
Mb1585	Rv1559	ilvA	i	NE	ES
Mb1586	Rv1560	vapB11	i	NE	NE
Mb1587	Rv1561	vapC11	i	NE	NE
Mb1588c	Rv1562c	treZ	v	GD	NE
Mb1589c	Rv1563c	treY	v	NE	NE
Mb1590c	Rv1563c	treY	v	NE	NE
Mb1591c	Rv1564c	treX	i	ES	NE
Mb1592c	Rv1565c		i	NE	NE
Mb1593c	Rv1566c		i	NE	GA
Mb1594c	Rv1567c		i	NE	GA
Mb1595	Rv1568	bioA	i	NE	NE
Mb1596	Rv1569	bioF1	i	NE	NE
Mb1597	Rv1570	bioD	v	GD	NE
Mb1598	Rv1571		i	GD	NE
Mb1598A	Rv1572c		v	GD	N/A
Mb1599	Rv1573		i	GD	NE
Mb1600	Rv1574		i	GD	NE
Mb1601	Rv1575		v	GD	NE
Mb1602c	Rv1576c		v	GD	GD
Mb1603c	Rv1577c		i	GD	NE
Mb1604c	Rv1578c		i	GD	NE
Mb1605c	Rv1579c		i	GD	NE
Mb1606c	Rv1580c		i	NE	NE
Mb1607c	Rv1581c		i	NE	NE
Mb1608c	Rv1582c		v	NE	NE
Mb1609c	Rv1583c		v	NE	NE
Mb1610c	Rv1584c		i	NE	NE
Mb1611c	Rv1585c		i	NE	NE
Mb1612c	Rv1586c		i	NE	NE
Mb1613c	Rv1587c		i	NE	NE
Mb1614c	Rv1588c		v	NE	NE
Mb1615	Rv1589	bioB	i	NE	NE
Mb1616	Rv1590		i	NE	NE
Mb1617	Rv1591		i	NE	NE
Mb1618c	Rv1592c		v	NE	NE
Mb1619c	Rv1593c		i	ES	NE
Mb1620	Rv1594	nadA	i	ES	ES
Mb1621	Rv1595	nadB	i	GD	ES
Mb1622	Rv1596	nadC	v	NE	ES
Mb1623	Rv1597		v	NE	NE
Mb1624c	Rv1598c		i	ES	NE
Mb1625	Rv1599	hisD	i	ES	ES
Mb1626	Rv1600	hisC1	i	ES	ES
Mb1627	Rv1601	hisB	i	ES	GD
Mb1628	Rv1602	hisH	v	ES	GD
Mb1629	Rv1603	hisA	i	NE	GD
Mb1630	Rv1604	impA	v	ES	NE
Mb1631	Rv1605	hisF	v	ES	ES
Mb1632	Rv1606	hisI	i	NE	ES
Mb1633	Rv1607	chaA	i	NE	NE
Mb1634c	Rv1608c	bcpB	i	ES	NE
Mb1635	Rv1609	trpE	i	NE	ES
Mb1636	Rv1610		i	ES	NE
Mb1637	Rv1611	trpC	i	ES	ES
Mb1638	Rv1612	trpB	i	ES	ES
Mb1639	Rv1613	trpA	i	ES	ES
Mb1640	Rv1614	lgt	i	NE	ES
Mb1641	Rv1615		i	NE	NE
Mb1642	Rv1616		i	NE	NE
Mb1643	Rv1617	pykA	v	NE	GD
Mb1644	Rv1618	tesB1	v	GD	NE
Mb1645	Rv1619		i	NE	NE
Mb1646c	Rv1620c	cydC	i	NE	NE
Mb1647c	Rv1621c	cydD	i	NE	NE
Mb1648c	Rv1622c	cydB	i	NE	NE
Mb1649c	Rv1623c	cydA	i	NE	NE
Mb1650c	Rv1624c		v	NE	NE
Mb1651c	Rv1625c	cya	i	NE	NE
Mb1652	Rv1626		i	NE	NE
Mb1653c	Rv1627c		i	NE	NE
Mb1654c	Rv1628c		i	GD	NE
Mb1655	Rv1629	polA	i	ES	GD
Mb1656	Rv1630	rpsA	v	NE	GD
Mb1657	Rv1631	coaE	i	NE	GD
Mb1658c	Rv1632c		i	NE	NE
Mb1659	Rv1633	uvrB	i	NE	NE
Mb1660	Rv1634		v	NE	NE
Mb1661c	Rv1635c		i	NE	NE
Mb1662	Rv1636	TB15.3	i	NE	ES
Mb1663c	Rv1637c		i	NE	NE
Mb1664	Rv1638	uvrA	i	NE	NE
Mb1665c	Rv1638A		i	NE	NE
Mb1666c	Rv1639c		i	NE	NE
Mb1667c	Rv1640c	lysX	v	NE	NE
Mb1668	Rv1641	infC	i	NE	ES
Mb1669	Rv1642	rpmI	i	NE	NE
Mb1670	Rv1643	rplT	i	NE	ES
Mb1671	Rv1644	tsnR	v	NE	GA
Mb1672c	Rv1645c		i	NE	GA
Mb1673	Rv1646	PE17	i	NE	NE
Mb1674	Rv1647		v	NE	NE
Mb1675	Rv1648		i	ES	NE
Mb1676	Rv1649	pheS	v	ES	ES
Mb1677	Rv1650	pheT	v	NE	ES
Mb1679c	Rv1651c	PE_PGRS30	v	ES	NE
Mb1680	Rv1652	argC	i	ES	ES
Mb1681	Rv1653	argJ	i	ES	ES
Mb1682	Rv1654	argB	i	GD	ES
Mb1683	Rv1655	argD	i	GD	ES
Mb1684	Rv1656	argF	i	NE	ES
Mb1685	Rv1657	argR	i	ES	NE
Mb1686	Rv1658	argG	i	ES	ES
Mb1687	Rv1659	argH	i	NE	ES
Mb1688	Rv1660	pks10	i	NE	NE
Mb1689	Rv1661	pks7	v	NE	NE
Mb1690	Rv1662	pks8	v	NE	NE
Mb1691	Rv1663	pks17	i	NE	NE
Mb1692	Rv1664	pks9	v	NE	NE
Mb1693	Rv1665	pks11	i	NE	NE
Mb1694c	Rv1666c	cyp139	i	NE	NE
Mb1695c	Rv1668c		v	NE	N/A
Mb1696	Rv1669		i	NE	NE
Mb1697	Rv1670		i	NE	NE
Mb1698	Rv1671		i	NE	NE
Mb1699c	Rv1672c		i	NE	NE
Mb1700c	Rv1673c		i	NE	NE
Mb1701c	Rv1674c		i	NE	NE
Mb1702c	Rv1675c	cmr	v	ES	NE
Mb1703	Rv1676		i	NE	NE
Mb1704	Rv1677	dsbF	i	NE	NE
Mb1705	Rv1678		i	NE	NE
Mb1706	Rv1679	fadE16	i	NE	NE
Mb1707	Rv1680		v	NE	NE
Mb1708	Rv1681	moeX	i	NE	NE
Mb1709	Rv1682		i	GD	NE
Mb1710	Rv1683		i	GD	NE
Mb1710A	Rv1684		i	GD	NE
Mb1711c	Rv1685c		i	GD	NE
Mb1712c	Rv1686c		v	NE	NE
Mb1713c	Rv1687c		i	NE	NE
Mb1714	Rv1688	mpg	i	ES	NE
Mb1715	Rv1689	tyrS	i	NE	ES
Mb1716	Rv1690	lprJ	v	NE	NE
Mb1717	Rv1691		i	NE	NE
Mb1718	Rv1692		i	NE	NE
Mb1719	Rv1693		i	ES	NE
Mb1720	Rv1694	tlyA	i	ES	NE
Mb1721	Rv1695	ppnK	i	NE	ES
Mb1722	Rv1696	recN	i	ES	NE
Mb1723	Rv1697		i	NE	ES
Mb1724	Rv1698	mctB	i	ES	NE
Mb1725	Rv1699	pyrG	i	ES	ES
Mb1726	Rv1700		v	ES	NE
Mb1727	Rv1701		i	NE	NE
Mb1728c	Rv1702c		i	NE	NE
Mb1729c	Rv1703c		i	NE	NE
Mb1730c	Rv1704c	cycA	v	NE	NE
Mb1731c	Rv1705c	PPE22	v	NE	NE
Mb1732c	Rv1706c	PPE23	i	NE	NE
Mb1733c	Rv1706A		i	NE	NE
Mb1734	Rv1707		v	ES	NE
Mb1735	Rv1708		v	NE	ES
Mb1736	Rv1709	scpA	i	NE	NE
Mb1737	Rv1710	scpB	i	ES	NE
Mb1738	Rv1711		i	ES	GD
Mb1739	Rv1712	cmk	i	ES	GD
Mb1740	Rv1713	engA	i	NE	GD
Mb1741	Rv1714		i	NE	NE
Mb1742	Rv1715	fadB3	v	NE	NE
Mb1743	Rv1715	fadB3	v	NE	NE
Mb1744	Rv1716		v	NE	NE
Mb1745	Rv1717		i	NE	NE
Mb1746	Rv1718		v	NE	NE
Mb1748	Rv1719		i	NE	NE
Mb1749c	Rv1720c	vapC12	i	NE	NE
Mb1750c	Rv1721c	vapB12	i	NE	NE
Mb1751	Rv1722		v	NE	NE
Mb1752	Rv1723		i	NE	NE
Mb1753c	Rv1724c		i	NE	NE
Mb1754c	Rv1725c		i	NE	NE
Mb1755	Rv1726		v	NE	NE
Mb1756	Rv1727		i	NE	NE
Mb1757c	Rv1728c		i	NE	NE
Mb1758c	Rv1729c		i	NE	NE
Mb1759c	Rv1730c		i	NE	NE
Mb1760	Rv1731	gabD2	i	NE	NE
Mb1761c	Rv1732c		i	NE	NE
Mb1762c	Rv1733c		v	NE	NE
Mb1763c	Rv1734c		v	NE	NE
Mb1764c	Rv1735c		i	NE	NE
Mb1765c	Rv1736c	narX	v	NE	NE
Mb1766c	Rv1737c	narK2	i	NE	NE
Mb1767	Rv1738		i	NE	NE
Mb1768c	Rv1739c		v	NE	NE
Mb1769	Rv1740	vapB34	i	NE	NE
Mb1770	Rv1741	vapC34	v	NE	NE
Mb1771	Rv1742		v	NE	NE
Mb1772	Rv1743	pknE	v	NE	NE
Mb1773c	Rv1744c		v	NE	NE
Mb1774c	Rv1745c	idi	v	NE	NE
Mb1775	Rv1746	pknF	v	NE	NE
Mb1776	Rv1747		i	NE	NE
Mb1777	Rv1748		i	NE	NE
Mb1778c	Rv1749c		i	NE	NE
Mb1779c	Rv1750c	fadD1	i	NE	NE
Mb1780	Rv1751		v	NE	NE
Mb1781	Rv1752		i	NE	NE
Mb1782c	Rv1753c	PPE24	v	NE	NE
Mb1783c	Rv1754c		i	NE	NE
Mb1784c	Rv2351c	plcA	v	NE	GA
Mb1785c	NA(MT1800/RvD2-ORF1)		v	NE	N/A
Mb1786	NA(MT1801)		v	NE	N/A
Mb1787	NA(MT1802/RvD2-ORF3)		v	NE	N/A
Mb1788	Rv1758	cut1	v	NE	NE
Mb1789c	Rv1759c	wag22	v	NE	NE
Mb1790c	Rv1759c	wag22	v	NE	NE
Mb1791	Rv1760		v	NE	NE
Mb1792c	Rv1761c		i	NE	NE
Mb1793c	Rv1762c		i	NE	NE
Mb1794c	Rv1765c		v	NE	NE
Mb1795A	Rv1766		i	NE	NE
Mb1795c	Rv1765A		v	NE	N/A
Mb1796	Rv1767		i	NE	NE
Mb1797	Rv1768	PE_PGRS31	v	NE	NE
Mb1798	Rv1769		i	NE	NE
Mb1799	Rv1770		i	NE	NE
Mb1800	Rv1771		i	NE	NE
Mb1801	Rv1772		i	NE	NE
Mb1802c	Rv1773c		i	NE	NE
Mb1803	Rv1774		i	NE	NE
Mb1804	Rv1775		i	NE	NE
Mb1805c	Rv1776c		i	NE	NE
Mb1806	Rv1777	cyp144	v	NE	NE
Mb1807c	Rv1778c		v	NE	NE
Mb1808c	Rv1779c		i	NE	NE
Mb1809	Rv1780		i	NE	GA
Mb1810c	Rv1781c	malQ	i	ES	GA
Mb1811	Rv1782	eccB5	v	ES	GD
Mb1812	Rv1783	eccC5	v	NE	GD
Mb1813c	Rv1785c	cyp143	i	NE	NE
Mb1814	Rv1786		i	NE	NE
Mb1815	Rv1787	PPE25	v	NE	GA
Mb1816	Rv1788	PE18	i	NE	GA
Mb1817	Rv1789	PPE26	v	NE	GA
Mb1818	Rv1790	PPE27	v	NE	GA
Mb1819	Rv1791	PE19	i	NE	NE
Mb1820	Rv1792		v	NE	N/A
Mb1821	Rv1793	esxN	i	ES	NE
Mb1822	Rv1794		i	ES	GD
Mb1823	Rv1795	eccD5	v	GD	GD
Mb1824	Rv1796	mycP5	i	GD	GD
Mb1825	Rv1797	eccE5	i	NE	GD
Mb1826	Rv1798	eccA5	i	NE	NE
Mb1827	Rv1799	lppT	i	NE	NE
Mb1828	Rv1800	PPE28	v	NE	NE
Mb1829	Rv1801	PPE29	i	NE	NE
Mb1830	Rv1802	PPE30	i	NE	NE
Mb1831c	Rv1803c	PE_PGRS32	v	NE	NE
Mb1832c	Rv1803c	PE_PGRS32	v	NE	NE
Mb1833c	Rv1804c		i	NE	NE
Mb1834c	Rv1805c		i	NE	NE
Mb1835	Rv1806	PE20	i	NE	NE
Mb1836	Rv1807		v	NE	N/A
Mb1837	Rv1808	PPE32	i	NE	GA
Mb1838	Rv1809	PPE33	v	NE	GA
Mb1839	Rv1809	PPE33	v	NE	GA
Mb1840	Rv1810		i	NE	GA
Mb1841	Rv1811	mgtC	i	NE	GA
Mb1842c	Rv1812c		v	NE	GA
Mb1843c	Rv1813c		i	NE	NE
Mb1844	Rv1814	erg3	i	NE	NE
Mb1845	Rv1815		v	NE	NE
Mb1846	Rv1816		i	NE	NE
Mb1847	Rv1816A		v	NE	N/A
Mb1848	Rv1817		i	NE	NE
Mb1849c	Rv1818c	PE_PGRS33	v	NE	NE
Mb1850c	Rv1819c	bacA	v	NE	NE
Mb1851	Rv1820	ilvG	i	NE	NE
Mb1852	Rv1821	secA2	i	ES	NE
Mb1853	Rv1822	pgsA2	i	NE	ES
Mb1854	Rv1823		i	NE	NE
Mb1855	Rv1824		i	NE	NE
Mb1856	Rv1825		i	NE	NE
Mb1857	Rv1826	gcvH	v	NE	ES
Mb1858	Rv1827	garA	i	NE	GD
Mb1859	Rv1828		i	NE	GD
Mb1860	Rv1829		v	NE	NE
Mb1861	Rv1830		i	NE	GD
Mb1862	Rv1831		i	GD	GA
Mb1863	Rv1832	gcvB	v	NE	ES
Mb1864c	Rv1833c		i	NE	NE
Mb1865	Rv1834	lipZ	v	NE	NE
Mb1866c	Rv1835c		i	NE	GA
Mb1867c	Rv1836c		v	ES	NE
Mb1868c	Rv1837c	glcB	i	NE	ES
Mb1869c	Rv1838c	vapC13	i	NE	GA
Mb1870c	Rv1839c	vapB13	i	NE	NE
Mb1871c	Rv1840c	PE_PGRS34	v	NE	NE
Mb1872c	Rv1841c		v	NE	NE
Mb1873c	Rv1842c		v	NE	NE
Mb1874c	Rv1843c	guaB1	i	NE	GA
Mb1875c	Rv1844c	gnd1	v	NE	GA
Mb1876c	Rv1845c	blaR	i	NE	NE
Mb1877c	Rv1846c	blaI	v	NE	NE
Mb1878	Rv1847		v	NE	NE
Mb1879	Rv1848	ureA	i	NE	NE
Mb1880	Rv1849	ureB	i	NE	NE
Mb1881	Rv1850	ureC	i	NE	NE
Mb1882	Rv1851	ureF	v	NE	NE
Mb1883	Rv1852	ureG	i	NE	NE
Mb1884	Rv1853	ureD	i	ES	NE
Mb1885c	Rv1854c	ndh	v	NE	GD
Mb1886c	Rv1855c		i	NE	GA
Mb1887c	Rv1856c		v	NE	GA
Mb1888	Rv1857	modA	i	NE	GA
Mb1889	Rv1858	modB	i	NE	NE
Mb1890	Rv1859	modC	v	NE	NE
Mb1891	Rv1860	apa	v	NE	NE
Mb1892	Rv1861		i	NE	NE
Mb1893	Rv1862	adhA	i	NE	NE
Mb1894c	Rv1863c		i	NE	NE
Mb1895c	Rv1864c		i	NE	NE
Mb1896c	Rv1865c		i	NE	NE
Mb1897	Rv1866		v	NE	NE
Mb1898	Rv1867		i	NE	NE
Mb1899	Rv1868		i	NE	NE
Mb1900c	Rv1869c		i	NE	NE
Mb1901c	Rv1870c		v	NE	NE
Mb1902c	Rv1871c		i	NE	NE
Mb1903c	Rv1872c	lldD2	v	NE	NE
Mb1904	Rv1873		v	NE	GA
Mb1905	Rv1874		i	NE	GA
Mb1906	Rv1875		i	NE	GA
Mb1907	Rv1876	bfrA	i	NE	GA
Mb1908	Rv1877		v	NE	GA
Mb1909	Rv1877		v	NE	GA
Mb1910	Rv1878	glnA3	v	NE	NE
Mb1911	Rv1879		i	NE	NE
Mb1912c	Rv1880c	cyp140	i	NE	NE
Mb1913c	Rv1881c	lppE	i	NE	GA
Mb1914c	Rv1882c		i	NE	GA
Mb1915c	Rv1883c		v	NE	GA
Mb1916c	Rv1884c	rpfC	i	NE	GA
Mb1917c	Rv1885c		i	NE	GA
Mb1918c	Rv1886c	fbpB	i	NE	GA
Mb1919	Rv1887		i	NE	NE
Mb1920c	Rv1888c		v	NE	N/A
Mb1921c	Rv1888A		i	NE	N/A
Mb1922c	Rv1889c		i	NE	N/A
Mb1923c	Rv1890c		i	NE	NE
Mb1924	Rv1891		i	NE	NE
Mb1925	Rv1892		i	NE	NE
Mb1926	Rv1893		i	NE	NE
Mb1927c	Rv1894c		i	NE	NE
Mb1928	Rv1895		v	NE	NE
Mb1929	Rv1895		v	NE	NE
Mb1931c	Rv1896c		i	NE	NE
Mb1932c	Rv1897c		i	NE	NE
Mb1933	Rv1898		i	NE	NE
Mb1934c	Rv1899c	lppD	v	NE	NE
Mb1935c	Rv1900c	lipJ	v	NE	NE
Mb1936	Rv1901	cinA	i	NE	NE
Mb1937c	Rv1902c	nanT	i	NE	NE
Mb1938	Rv1903		i	NE	GA
Mb1939	Rv1904		v	NE	GA
Mb1940c	Rv1905c	aao	v	NE	NE
Mb1941c	Rv1906c		i	NE	NE
Mb1942c	Rv1907c		i	NE	NE
Mb1943c	Rv1908c	katG	v	NE	NE
Mb1944c	Rv1909c	furA	i	NE	NE
Mb1945c	Rv1910c		i	NE	NE
Mb1946c	Rv1911c	lppC	i	NE	NE
Mb1947c	Rv1912c	fadB5	v	NE	NE
Mb1948	Rv1913		i	NE	NE
Mb1949c	Rv1914c		i	NE	NE
Mb1950	Rv1915	aceAa	v	NE	NE
Mb1951c	Rv1917c	PPE34	v	NE	NE
Mb1952c	Rv1918c	PPE35	v	NE	NE
Mb1953c	Rv1918c	PPE35	v	NE	NE
Mb1954c	Rv1919c		i	NE	NE
Mb1955	Rv1920		v	NE	NE
Mb1956c	Rv1921c	lppF	i	NE	NE
Mb1957	Rv1922		i	NE	NE
Mb1958	Rv1923	lipD	v	NE	GA
Mb1959c	Rv1924c		i	NE	GA
Mb1960	Rv1925	fadD31	i	NE	GA
Mb1961c	Rv1926c	mpt63	i	NE	GA
Mb1962	Rv1927		i	NE	NE
Mb1963c	Rv1928c		i	NE	NE
Mb1964c	Rv1929c		i	NE	NE
Mb1965c	Rv1930c		i	NE	NE
Mb1966c	Rv1931c		i	NE	NE
Mb1967	Rv1932	tpx	i	NE	NE
Mb1968c	Rv1933c	fadE18	i	NE	NE
Mb1969c	Rv1934c	fadE17	i	NE	NE
Mb1970c	Rv1935c	echA13	i	NE	NE
Mb1971	Rv1936		i	NE	NE
Mb1972	Rv1937		i	NE	NE
Mb1973	Rv1938	ephB	i	NE	NE
Mb1974	Rv1939		v	NE	NE
Mb1975	Rv1940	ribA1	i	NE	NE
Mb1976	Rv1941		i	NE	NE
Mb1977c	Rv1942c	mazF5	i	NE	NE
Mb1978c	Rv1943c	mazE5	i	NE	NE
Mb1979c	Rv1944c		i	NE	NE
Mb1980	Rv1945		v	NE	NE
Mb1981c	Rv1946c	lppG	v	NE	NE
Mb1982	Rv1947		i	NE	NE
Mb1983c	Rv1948c		v	NE	NE
